	abbr	state	lobbyists	lat	lon
0	AK	Alaska	6169.0		
1	AL	Alabama	5617.0	32.36681	-86.29997
2	AR	Arkansas	5141.0	34.74648	-92.28959
3	AZ	Arizona	32467.0	33.44838	-112.07404
4	CA	California	9936.0	38.58157	-121.4944
5	CO	Colorado	9803.0	39.73915	-104.9847
6	CT	Connecticut	7225.0	41.76371	-72.68509
7	DE	Delaware	2605.0	39.15817	-75.52437
8	FL	Florida	23342.0	30.43826	-84.28073
9	GA	Georgia	20708.0	33.749	-84.38798
10	HI	Hawaii	2484.0	21.30694	-157.85833
11	IA	Iowa	6528.0	41.60054	-93.60911
12	ID	Idaho	7600.0	43.6135	-116.20345
13	IL	Illinois	16020.0	39.80172	-89.64371
14	IN	Indiana	5163.0	39.76838	-86.15804
15	KS	Kansas	10438.0	39.04833	-95.67804
16	KY	Kentucky	5653.0	38.20091	-84.87328
17	LA	Louisiana	8029.0	30.45075	-91.15455
18	MA	Massachusetts	6314.0	42.35843	-71.05977
19	MD	Maryland	15954.0	38.97845	-76.49218
20	ME	Maine	5007.0	44.31062	-69.77949
21	MI	Michigan	11812.0	42.73253	-84.55553
22	MN	Minnesota	19441.0	44.94441	-93.09327
23	MO	Missouri	12857.0	38.5767	-92.17352
24	MS	Mississippi	7788.0	32.29876	-90.18481
25	MT	Montana	8700.0	46.59271	-112.03611
26	NC	North Carolina	15635.0	35.7721	-78.63861
27	ND	North Dakota	3383.0	46.80833	-100.78374
28	NE	Nebraska	3616.0	40.8	-96.66696
29	NH	New Hampshire	5586.0	43.20814	-71.53757
30	NJ	New Jersey	8553.0	40.21705	-74.74294
31	NM	New Mexico	7333.0	35.68698	-105.9378
32	NV	Nevada	6211.0	39.1638	-119.7674
33	NY	New York	43936.0	42.65258	-73.75623
34	OH	Ohio	13807.0	39.96118	-82.99879
35	OK	Oklahoma	3240.0	35.46756	-97.51643
36	OR	Oregon	7248.0	44.9429	-123.0351
37	PA	Pennsylvania	5373.0	40.2737	-76.88442
38	RI	Rhode Island	6679.0	41.82399	-71.41283
39	SC	South Carolina	4666.0	34.00071	-81.03481
40	SD	South Dakota	4868.0	44.36832	-100.35097
41	TN	Tennessee	3933.0	36.16589	-86.78444
42	TX	Texas	13568.0	30.26715	-97.74306
43	UT	Utah	5216.0	40.76078	-111.89105
44	VA	Virginia	9241.0	37.55376	-77.46026
45	VT	Vermont	3259.0	44.26006	-72.57539
46	WA	Washington	13096.0	47.03787	-122.9007
47	WI	Wisconsin	6146.0	43.07305	-89.40123
48	WV	West Virginia	4661.0	38.34982	-81.63262
49	WY	Wyoming	6295.0	41.13998	-104.82025
