abbr	state	fips	year	bowen	ncslstaff	firmreport	noexpire	dyads	clients	lobbyists	definitions	prohibitions	reports	initiativestate	foldedranney6yr	termlimit	genexp	defpro	defrep	lnexp	bowen000	clients000	dyads000	lobbyists000
"AL"	"Alabama"	1	1986	318.4661	200	0	0				2	1	4	0.0	0.373547	0.0	5800000.0	2	8.0	15.5734	0.3184661			
"AL"	"Alabama"	1	1987	318.4661	200	0	0				2	1	4	0.0	0.329455	0.0	5800000.0	2	8.0	15.5734	0.3184661			
"AL"	"Alabama"	1	1988	288.2352	339	0	0				2	1	4	0.0	0.285362	0.0	6300000.0	2	8.0	15.6561	0.2882352			
"AL"	"Alabama"	1	1989	288.2352	339	0	0	371	250	302	2	1	4	0.0	0.250287	0.0	6800000.0	2	8.0	15.7324	0.2882352	0.25	0.371	0.302
"AL"	"Alabama"	1	1990	284.1208	339	0	0				2	1	4	0.0	0.215212	0.0	7400000.0	2	8.0	15.817	0.2841208			
"AL"	"Alabama"	1	1991	284.1208	339	0	0				2	1	4	0.0	0.18269	0.0	8100000.0	2	8.0	15.9074	0.2841208			
"AL"	"Alabama"	1	1992	315.4202	339	0	0				2	1	3	0.0	0.14977	0.0	8800000.0	2	6.0	15.9903	0.3154202			
"AL"	"Alabama"	1	1993	315.4202	339	0	0				2	1	3	0.0	0.146417	0.0	9300000.0	2	6.0	16.0455	0.3154202			
"AL"	"Alabama"	1	1994	355.638	339	0	0				2	2	3	0.0	0.162706	0.0	9900000.0	4	6.0	16.108	0.355638			
"AL"	"Alabama"	1	1995	355.638	339	0	0				2	2	3	0.0	0.152916	0.0	1.0E7	4	6.0	16.1181	0.355638			
"AL"	"Alabama"	1	1996	312.5258	316	0	0	795	487	523	5	3	3	0.0	0.142729	0.0	1.1E7	15	15.0	16.2134	0.3125258	0.487	0.795	0.523
"AL"	"Alabama"	1	1997	312.5258	316	0	0				5	3	3	0.0	0.132685	0.0	1.2E7	15	15.0	16.3004	0.3125258			
"AL"	"Alabama"	1	1998	341.7913	316	0	0				5	3	3	0.0	0.121872	0.0	1.2E7	15	15.0	16.3004	0.3417913			
"AL"	"Alabama"	1	1999	341.7913	316	0	0				5	3	3	0.0	0.135753	0.0	1.3E7	15	15.0	16.3805	0.3417913			
